start_date,start_station,end_date,end_station,bike_number,bike_model,duration_min,trip_category,trip_type,start_hour,start_day,start_month,is_weekend,is_rush_hour,rush_period,station_risk_score,bike_instability_score,start_lat,start_long,end_lat,end_long,trip_distance_km,avg_speed
15/10/2025 23:44,"bethnal green road, shoreditch",15/10/2025 23:52,"globe town market, bethnal green",59358,CLASSIC,8.911666666666667,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.006069094,0,51.52364804,-0.074754872,51.528869,-0.047548,1.9696853037396824,13.26139347945176
15/10/2025 23:42,"claverton street, pimlico",15/10/2025 23:48,"vincent street, pimlico",55236,CLASSIC,6.233716666666667,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.001919386,0.010416666666666666,51.48483991,-0.138089062,51.493072,-0.129925,1.0758307111934613,10.354952931494749
15/10/2025 23:42,"emperor's gate, south kensington",16/10/2025 00:24,"exhibition road museums 1, south kensington",53008,CLASSIC,41.78548333333333,Long(41-120 mins),normal,23,Wednesday,October,0,0,non_rush,0.003793627,0,51.49536226,-0.185296516,51.496468,-0.17379696,0.8055149711357344,1.1566432744739676
15/10/2025 23:42,"emperor's gate, south kensington",16/10/2025 00:24,"exhibition road museums 1, south kensington",41753,CLASSIC,41.91288333333333,Long(41-120 mins),normal,23,Wednesday,October,0,0,non_rush,0.003793627,0,51.49536226,-0.185296516,51.496468,-0.17379696,0.8055149711357344,1.1531274974276582
15/10/2025 23:42,"hyde park corner, hyde park",16/10/2025 00:06,"richmond way, shepherd's bush",56339,CLASSIC,24.2039,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.003173687,0,51.50311799,-0.153520935,51.50035306,-0.217515071,4.440192127,11.006966960312454
15/10/2025 23:42,"trebovir road, earl's court",15/10/2025 23:48,"humbolt road, fulham",24376,CLASSIC,5.858716666666667,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.006603774,0,51.49085368,-0.196170309,51.48321729,-0.211860644,1.3788712020436107,14.121227707310753
15/10/2025 23:42,"cleveland way, stepney",15/10/2025 23:48,"selby street, whitechapel",56901,CLASSIC,6.1893,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.003318584,0,51.520893,-0.051394,51.521905,-0.063386,0.837298235,8.116894337404963
15/10/2025 23:42,"hyde park corner, hyde park",16/10/2025 00:00,"knaresborough place, earl's court",58730,CLASSIC,17.38085,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.003173687,0.00877193,51.50311799,-0.153520935,51.49363156,-0.190603326,2.7752362218670354,9.580323937668304
15/10/2025 23:42,"stephendale road, sands end",15/10/2025 23:52,"sugden road, clapham",64215,PBSC_EBIKE,9.674183333333334,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.005756579,0.012195121951219513,51.46822047,-0.190346493,51.46512358,-0.157788279,2.281480364129983,14.149909830231902
15/10/2025 23:41,"canada water station, rotherhithe",15/10/2025 23:52,"crimscott street, bermondsey",50767,CLASSIC,11.217316666666667,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.005805515,0,51.498439,-0.049150215,51.495598,-0.078893,2.083037944074627,11.14190499906938
15/10/2025 23:41,"camley street, camden town",15/10/2025 23:59,"lambeth palace road, waterloo",53640,CLASSIC,18.126383333333333,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.007782101,0,51.53792,-0.13053,51.5000892,-0.116628701,4.315157967361078,14.28357071
15/10/2025 23:41,"tavistock place, bloomsbury",15/10/2025 23:48,"st. john street, finsbury",54908,CLASSIC,6.7819,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.006825939,0,51.5262503,-0.123509611,51.52836014,-0.104724625,1.3205330507287862,11.682859234687502
15/10/2025 23:40,"hyde park corner, hyde park",15/10/2025 23:49,"chelsea bridge, pimlico",63120,PBSC_EBIKE,9.093,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.003173687,0,51.50311799,-0.153520935,51.485821,-0.149004,1.9485917979971887,12.857748584606988
15/10/2025 23:40,"gas holders, battersea park",15/10/2025 23:51,"vicarage crescent, battersea",62225,PBSC_EBIKE,11.51805,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.007122507,0.011627906976744186,51.477966,-0.14785703,51.47287627,-0.176267008,2.047388662970682,10.66528794181662
15/10/2025 23:40,"page street, westminster",15/10/2025 23:49,"kennington lane rail bridge, vauxhall",62323,PBSC_EBIKE,8.535183333333332,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.000673854,0.008474576,51.493978,-0.127554,51.4863434,-0.1224924,0.9184169283161254,6.456219339045738
15/10/2025 23:40,"woodstock grove, shepherd's bush",15/10/2025 23:55,"woodstock grove, shepherd's bush",50466,CLASSIC,14.733933333333333,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.003477051,0,51.50403821,-0.217400093,51.50403821,-0.217400093,0,0
15/10/2025 23:39,"hatton wall, holborn",15/10/2025 23:58,"gloucester street, pimlico",55810,CLASSIC,18.317933333333333,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.004320988,0,51.5216612,-0.109006325,51.49096258,-0.139625122,4.0178359000650365,13.160335809565609
15/10/2025 23:39,"grant road east, clapham junction",15/10/2025 23:42,"hibbert street, battersea",35043,CLASSIC,2.5801833333333333,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.003703704,0,51.46489445,-0.17302926,51.46517078,-0.18038939,0.5107874646520554,11.877934208469679
15/10/2025 23:39,"brushfield street, liverpool street",15/10/2025 23:48,"pott street, bethnal green",40278,CLASSIC,8.725216666666666,Short(1-10 mins),normal,23,Wednesday,October,0,0,non_rush,0.003924133,0,51.518908,-0.079249,51.527152,-0.058005,1.732213936027726,11.911777109068568
15/10/2025 23:39,"south parade, chelsea",16/10/2025 00:13,"rotherhithe roundabout, rotherhithe",64115,PBSC_EBIKE,33.6382,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.004098361,0,51.48902,-0.17524,51.499169,-0.055846029,8.342260337821633,14.879976344432757
15/10/2025 23:39,"globe town market, bethnal green",16/10/2025 00:10,"east india dlr, blackwall",59336,CLASSIC,30.53735,Normal(10-40 mins),normal,23,Wednesday,October,0,0,non_rush,0.003875969,0,51.528869,-0.047548,51.509474,-0.002275,3.8031024936082694,7.472362521
15/10/2025 23:38,"duke street hill, london bridge",16/10/2025 01:02,"farm street, mayfair",54649,CLASSIC,84.5987,Long(41-120 mins),normal,23,Wednesday,October,0,0,non_rush,0.003634161,0.012820513,51.50630441,-0.087262995,51.50935171,-0.14744969,4.179194735398395,2.9640134437515435
67,
15/10/2025 23:38,"duke street hill, london bridge",16/10/2025 01:02,"farm street, mayfair",54649,CLASSIC,84.5987,Long(41-120 mins),normal,23,Wednesday,October,0,0,non_rush,0.003634161,0.012820513,51.50630441,-0.087262995,51.50935171,-0.14744969,Spaghetti,2.9640134437515435
