Stations, Start, End 
"prince of wales drive, battersea park",141,107
"vicarage crescent, battersea",168,167
"blythe road, olympia",165,173
"victoria park road, hackney central",146,141
"eccleston place, victoria",321,342
"new kent road, the borough",169,204
"granby street, shoreditch",212,177
"hewison street, old ford",155,147
"temple gardens, temple",182,166
"coram street, bloomsbury",158,160
"wapping lane, wapping",270,255
"timber lodge, queen elizabeth olympic park",128,105
"charing cross hospital, hammersmith",193,191
"philpot street, whitechapel",164,156
"south quay east, canary wharf",31,41
"salmon lane, limehouse",203,188
"gloucester road (central), south kensington",162,169
"westminster pier, westminster",397,407
"red lion street, holborn",248,280
"regent's row , haggerston",304,320
"naval row, blackwall",80,83
"gunmakers lane, old ford",114,120
"woodstock grove, shepherd's bush",229,237
"shepherd's bush road north, shepherd's bush",148,155
"beaumont street, marylebone",237,217
"south audley street, mayfair",109,97
"fulham park road, fulham",124,117
"taviton street, bloomsbury",337,287
"boston place, marylebone",364,250
"columbia road, shoreditch",194,178
"moorfields, moorgate",375,491
"pitfield street north,hoxton",299,232
"nantes close, wandsworth",52,58
"plough terrace, clapham junction",86,93
"good's way, king's cross",229,223
"aldersgate street, barbican",320,337
"pritchard's road, bethnal green",249,231
"frith street, soho",209,202
"poured lines, bankside",108,116
"marloes road, kensington",89,87
"new cavendish street, marylebone",196,193
"broadley terrace, marylebone",130,99
"limerston street, west chelsea",374,388
"podium, queen elizabeth olympic park",184,192
"devonshire terrace, bayswater",230,223
"ravenscourt park station, hammersmith",180,185
"empire square, the borough",237,208
"harper road, the borough",82,86
"haggerston road, haggerston",213,205
"park lane, mayfair",111,110
"kensington gore, knightsbridge",179,182
"cadogan gardens, chelsea",225,225
"archbishop's park, waterloo",116,114
"st. george street, mayfair",166,229
"queen's circus, battersea park",202,208
"golden lane, barbican",182,169
"craven street, strand",373,383
"finsbury square , moorgate",225,270
"lindfield street, poplar",192,171
"lexham gardens, kensington",205,199
"heron quays dlr, canary wharf",17,40
"southerton road, hammersmith",130,116
"sancroft street, vauxhall",88,96
"fournier street, whitechapel",241,227
"watney market, stepney",147,152
"southern grove, bow",75,82
"drayton gardens, west chelsea",266,263
"manresa road, chelsea",181,180
"york hall, bethnal green",179,166
"sutton street, shadwell",202,182
"coomer place, west kensington",272,254
"strand, strand",377,371
"cephas street, bethnal green",160,131
"sopwith way, battersea park",155,153
